"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R15,R14,R13,R12,R11";"R0402";5;"TNPW0402100RBEED";;;
2;"FD4,FD5,FD6,FD1,FD2,FD3";"FIDUCIAL";6;"FIDUCIAL";;;
3;"P1";"61301621121";1;"61301621121";;;
4;"X1";"ABS05-32.768KHZ-9-T";1;"ABS05-32.768KHZ-9-T";;;
5;"C33,C13,C19,C15,C12";"C0402";5;"CL10B224JO8NNNC";;;
6;"T2,T1";"0732511150";2;"0732511150";;;
7;"R4,R10,R5,R7,R8";"R0402";5;"RC1005F102CS";;;
8;"LED4";"LED0603";1;"LTST-C193KRKT-5A";;;
9;"SH1";"36103205";1;"36103205";;;
10;"U3";"STM32L052C8T6";1;"STM32L052C8T6";;;
11;"U1";"AP7361-33FGE-7";1;"AP7361-33FGE-7";;;
12;"U2";"ADF7023BCPZ";1;"ADF7023BCPZ";;;
13;"X3";"ABM10-166-12.000MHZ-T3";1;"ABM10-166-12.000MHZ-T3";;;
14;"C31,C32,C16,C21";"C0402";4;"GRM0225C1E8R0WA03L";;;
15;"SW2";"B3U-1000P";1;"B3U-1000P";;;
16;"J5";"0475890001";1;"0475890001-MicroUSBPort";;;
17;"J2";"20021121-00010C4LF";1;"20021121-00010C4LF";;;
18;"D1";"BAT20JFILM";1;"BAT20JFILM";;;
19;"FB2,FB1";"BLM15HG601SN1D";2;"BLM15HG601SN1D";;;
20;"C30,C29,C28,C27,C26,C25,C24,C6,C10,C14,C8,C11";"C0402";12;"CL05B104JP5NNNC";;;
21;"SW1";"CUS-12TB";1;"CUS-12TB";;;
22;"Q1";"DMG2307L-7";1;"DMG2307L-7";;;
23;"DA1";"ESDA6V1BC6";1;"ESDA6V1BC6";;;
24;"LED2,LED1";"LED0603";2;"LTST-C193TBKT-5A";;;
25;"LED3";"LED0603";1;"LTST-C191KGKT";;;
26;"H4,H3,H2,H1";"M2.5_HOLE";4;"M2.5_Hole";;;
27;"FB3";"MI0603K300R-10";1;"MI0603K300R-10";;;
28;"R6,R1,R3";"R0402";3;"RC1005F103CS";;;
29;"R9";"R0402";1;"RC1005J473CS";;;
30;"D2";"RSB39VTE-17";1;"RSB39VTE-17";;;
31;"R2";"R0402";1;"ERA-2AEB363X";;;
32;"X2";"ABM11-140-26.000MHZ-T3";1;"ABM11-140-26.000MHZ-T3";;;
33;"C22";"C0402";1;"GRM1555C2A2R7CA01D";;;
34;"C23";"C0402";1;"GRM1555C1E1R2BA01D";;;
35;"C20,C17";"C0402";2;"CL05C090CB5NNNC";;;
36;"C18";"C0402";1;"GRM155R71H152KA01D";;;
37;"C7";"C0402";1;"GJM1555C1H1R0BB01D";;;
38;"C2";"C0402";1;"CBR04C560F1GAC";;;
39;"C3,C5";"C0402";2;"GJM1555C1H2R2WB01D";;;
40;"C4";"C0402";1;"GRM1555C1H101GA01D";;;
41;"C9";"C0402";1;"CBR04C470F3GAC";;;
42;"C1";"C0603";1;"CL10A106KQ8NNNC";;;
43;"L1,L2,L5";"L0402";3;"0402CS-12NXJL";;;
44;"L3";"L0402";1;"0402CS-24NXJL";;;
45;"L4";"L0402";1;"0402CS-6N2XJL";;;
46;"L6";"L0402";1;"0402CS-1N8XJL";;;
47;"L7";"L0402";1;"0402CS-47NXJL";;;
